Week of,Series ID: PET.EMD_EPD2D_PTE_NUS_DPG.W Dollars per Gallon
10/24/2022,5.341
10/17/2022,5.339
10/10/2022,5.224
10/3/2022,4.836
09/26/2022,4.889
09/19/2022,4.964
09/12/2022,5.033
09/5/2022,5.084
08/29/2022,5.115
08/22/2022,4.909
08/15/2022,4.911
08/8/2022,4.993
08/1/2022,5.138
07/25/2022,5.268
07/18/2022,5.432
07/11/2022,5.568
07/4/2022,5.675
06/27/2022,5.783
06/20/2022,5.81
06/13/2022,5.718
06/6/2022,5.703
05/30/2022,5.539
05/23/2022,5.571
05/16/2022,5.613
05/9/2022,5.623
05/2/2022,5.509
04/25/2022,5.16
04/18/2022,5.101
04/11/2022,5.073
04/4/2022,5.144
03/28/2022,5.185
03/21/2022,5.134
03/14/2022,5.25
03/7/2022,4.849
02/28/2022,4.104
02/21/2022,4.055
02/14/2022,4.019
02/7/2022,3.951
01/31/2022,3.846
01/24/2022,3.78
01/17/2022,3.725
01/10/2022,3.657
01/3/2022,3.613
12/27/2021,3.615
12/20/2021,3.626
12/13/2021,3.649
12/6/2021,3.674
11/29/2021,3.72
11/22/2021,3.724
11/15/2021,3.734
11/8/2021,3.73
11/1/2021,3.727
10/25/2021,3.713
10/18/2021,3.671
10/11/2021,3.586
10/4/2021,3.477
09/27/2021,3.406
09/20/2021,3.385
09/13/2021,3.372
09/6/2021,3.373
08/30/2021,3.339
08/23/2021,3.324
08/16/2021,3.356
08/9/2021,3.364
08/2/2021,3.367
07/26/2021,3.342
07/19/2021,3.344
07/12/2021,3.338
07/5/2021,3.331
06/28/2021,3.3
06/21/2021,3.287
06/14/2021,3.286
06/7/2021,3.274
05/31/2021,3.255
05/24/2021,3.253
05/17/2021,3.249
05/10/2021,3.186
05/3/2021,3.142
04/26/2021,3.124
04/19/2021,3.124
04/12/2021,3.129
04/5/2021,3.144
03/29/2021,3.161
03/22/2021,3.194
03/15/2021,3.191
03/8/2021,3.143
03/1/2021,3.072
02/22/2021,2.973
02/15/2021,2.876
02/8/2021,2.801
02/1/2021,2.738
01/25/2021,2.716
01/18/2021,2.696
01/11/2021,2.67
01/4/2021,2.64
12/28/2020,2.635
12/21/2020,2.619
12/14/2020,2.559
12/7/2020,2.526
11/30/2020,2.502
11/23/2020,2.462
11/16/2020,2.441
11/9/2020,2.383
11/2/2020,2.372
10/26/2020,2.385
10/19/2020,2.388
10/12/2020,2.395
10/5/2020,2.387
09/28/2020,2.394
09/21/2020,2.404
09/14/2020,2.422
09/7/2020,2.435
08/31/2020,2.441
08/24/2020,2.426
08/17/2020,2.427
08/10/2020,2.428
08/3/2020,2.424
07/27/2020,2.427
07/20/2020,2.433
07/13/2020,2.438
07/6/2020,2.437
06/29/2020,2.43
06/22/2020,2.425
06/15/2020,2.403
06/8/2020,2.396
06/1/2020,2.386
05/25/2020,2.39
05/18/2020,2.386
05/11/2020,2.394
05/4/2020,2.399
04/27/2020,2.437
04/20/2020,2.48
04/13/2020,2.507
04/6/2020,2.548
03/30/2020,2.586
03/23/2020,2.659
03/16/2020,2.733
03/9/2020,2.814
03/2/2020,2.851
02/24/2020,2.882
02/17/2020,2.89
02/10/2020,2.91
02/3/2020,2.956
01/27/2020,3.01
01/20/2020,3.037
01/13/2020,3.064
01/6/2020,3.079
12/30/2019,3.069
12/23/2019,3.041
12/16/2019,3.046
12/9/2019,3.049
12/2/2019,3.07
11/25/2019,3.066
11/18/2019,3.074
11/11/2019,3.073
11/4/2019,3.062
10/28/2019,3.064
10/21/2019,3.05
10/14/2019,3.051
10/7/2019,3.047
09/30/2019,3.066
09/23/2019,3.081
09/16/2019,2.987
09/9/2019,2.971
09/2/2019,2.976
08/26/2019,2.983
08/19/2019,2.994
08/12/2019,3.011
08/5/2019,3.032
07/29/2019,3.034
07/22/2019,3.044
07/15/2019,3.051
07/8/2019,3.055
07/1/2019,3.042
06/24/2019,3.043
06/17/2019,3.07
06/10/2019,3.105
06/3/2019,3.136
05/27/2019,3.151
05/20/2019,3.163
05/13/2019,3.16
05/6/2019,3.171
04/29/2019,3.169
04/22/2019,3.147
04/15/2019,3.118
04/8/2019,3.093
04/1/2019,3.078
03/25/2019,3.08
03/18/2019,3.07
03/11/2019,3.079
03/4/2019,3.076
02/25/2019,3.048
02/18/2019,3.006
02/11/2019,2.966
02/4/2019,2.966
01/28/2019,2.965
01/21/2019,2.965
01/14/2019,2.976
01/7/2019,3.013
12/31/2018,3.048
12/24/2018,3.077
12/17/2018,3.121
12/10/2018,3.161
12/3/2018,3.207
11/26/2018,3.261
11/19/2018,3.282
11/12/2018,3.317
11/5/2018,3.338
10/29/2018,3.355
10/22/2018,3.38
10/15/2018,3.394
10/8/2018,3.385
10/1/2018,3.313
09/24/2018,3.271
09/17/2018,3.268
09/10/2018,3.258
09/3/2018,3.252
08/27/2018,3.226
08/20/2018,3.207
08/13/2018,3.217
08/6/2018,3.223
07/30/2018,3.226
07/23/2018,3.22
07/16/2018,3.239
07/9/2018,3.243
07/2/2018,3.236
06/25/2018,3.216
06/18/2018,3.244
06/11/2018,3.266
06/4/2018,3.285
05/28/2018,3.288
05/21/2018,3.277
05/14/2018,3.239
05/7/2018,3.171
04/30/2018,3.157
04/23/2018,3.133
04/16/2018,3.104
04/9/2018,3.043
04/2/2018,3.042
03/26/2018,3.01
03/19/2018,2.972
03/12/2018,2.976
03/5/2018,2.992
02/26/2018,3.007
02/19/2018,3.027
02/12/2018,3.063
02/5/2018,3.086
01/29/2018,3.07
01/22/2018,3.025
01/15/2018,3.028
01/8/2018,2.996
01/1/2018,2.973
12/25/2017,2.903
12/18/2017,2.901
12/11/2017,2.91
12/4/2017,2.922
11/27/2017,2.926
11/20/2017,2.912
11/13/2017,2.915
11/6/2017,2.882
10/30/2017,2.819
10/23/2017,2.797
10/16/2017,2.787
10/9/2017,2.776
10/2/2017,2.792
09/25/2017,2.788
09/18/2017,2.791
09/11/2017,2.802
09/4/2017,2.758
08/28/2017,2.605
08/21/2017,2.596
08/14/2017,2.598
08/7/2017,2.581
07/31/2017,2.531
07/24/2017,2.507
07/17/2017,2.491
07/10/2017,2.481
07/3/2017,2.472
06/26/2017,2.465
06/19/2017,2.489
06/12/2017,2.524
06/5/2017,2.564
05/29/2017,2.571
05/22/2017,2.539
05/15/2017,2.544
05/8/2017,2.565
05/1/2017,2.583
04/24/2017,2.595
04/17/2017,2.597
04/10/2017,2.582
04/3/2017,2.556
03/27/2017,2.532
03/20/2017,2.539
03/13/2017,2.564
03/6/2017,2.579
02/27/2017,2.577
02/20/2017,2.572
02/13/2017,2.565
02/6/2017,2.558
01/30/2017,2.562
01/23/2017,2.569
01/16/2017,2.585
01/9/2017,2.597
01/2/2017,2.586
12/26/2016,2.54
12/19/2016,2.527
12/12/2016,2.493
12/5/2016,2.48
11/28/2016,2.42
11/21/2016,2.421
11/14/2016,2.443
11/7/2016,2.47
10/31/2016,2.479
10/24/2016,2.478
10/17/2016,2.481
10/10/2016,2.445
10/3/2016,2.389
09/26/2016,2.382
09/19/2016,2.389
09/12/2016,2.399
09/5/2016,2.407
08/29/2016,2.409
08/22/2016,2.37
08/15/2016,2.31
08/8/2016,2.316
08/1/2016,2.348
07/25/2016,2.379
07/18/2016,2.402
07/11/2016,2.414
07/4/2016,2.423
06/27/2016,2.426
06/20/2016,2.426
06/13/2016,2.431
06/6/2016,2.407
05/30/2016,2.382
05/23/2016,2.357
05/16/2016,2.297
05/9/2016,2.271
05/2/2016,2.266
04/25/2016,2.198
04/18/2016,2.165
04/11/2016,2.128
04/4/2016,2.115
03/28/2016,2.121
03/21/2016,2.119
03/14/2016,2.099
03/7/2016,2.021
02/29/2016,1.989
02/22/2016,1.983
02/15/2016,1.98
02/8/2016,2.008
02/1/2016,2.031
01/25/2016,2.071
01/18/2016,2.112
01/11/2016,2.177
01/4/2016,2.211
12/28/2015,2.237
12/21/2015,2.284
12/14/2015,2.338
12/7/2015,2.379
11/30/2015,2.421
11/23/2015,2.445
11/16/2015,2.482
11/9/2015,2.502
11/2/2015,2.485
10/26/2015,2.498
10/19/2015,2.531
10/12/2015,2.556
10/5/2015,2.492
09/28/2015,2.476
09/21/2015,2.493
09/14/2015,2.517
09/7/2015,2.534
08/31/2015,2.514
08/24/2015,2.561
08/17/2015,2.615
08/10/2015,2.617
08/3/2015,2.668
07/27/2015,2.723
07/20/2015,2.782
07/13/2015,2.814
07/6/2015,2.832
06/29/2015,2.843
06/22/2015,2.859
06/15/2015,2.87
06/8/2015,2.884
06/1/2015,2.909
05/25/2015,2.914
05/18/2015,2.904
05/11/2015,2.878
05/4/2015,2.854
04/27/2015,2.811
04/20/2015,2.78
04/13/2015,2.754
04/6/2015,2.784
03/30/2015,2.824
03/23/2015,2.864
03/16/2015,2.917
03/9/2015,2.944
03/2/2015,2.936
02/23/2015,2.9
02/16/2015,2.865
02/9/2015,2.835
02/2/2015,2.831
01/26/2015,2.866
01/19/2015,2.933
01/12/2015,3.053
01/5/2015,3.137
12/29/2014,3.213
12/22/2014,3.281
12/15/2014,3.419
12/8/2014,3.535
12/1/2014,3.605
11/24/2014,3.628
11/17/2014,3.661
11/10/2014,3.677
11/3/2014,3.623
10/27/2014,3.635
10/20/2014,3.656
10/13/2014,3.698
10/6/2014,3.733
09/29/2014,3.755
09/22/2014,3.778
09/15/2014,3.801
09/8/2014,3.814
09/1/2014,3.814
08/25/2014,3.821
08/18/2014,3.835
08/11/2014,3.843
08/4/2014,3.853
07/28/2014,3.858
07/21/2014,3.869
07/14/2014,3.894
07/7/2014,3.913
06/30/2014,3.92
06/23/2014,3.919
06/16/2014,3.882
06/9/2014,3.892
06/2/2014,3.918
05/26/2014,3.925
05/19/2014,3.934
05/12/2014,3.948
05/5/2014,3.964
04/28/2014,3.975
04/21/2014,3.971
04/14/2014,3.952
04/7/2014,3.959
03/31/2014,3.975
03/24/2014,3.988
03/17/2014,4.003
03/10/2014,4.021
03/3/2014,4.016
02/24/2014,4.017
02/17/2014,3.989
02/10/2014,3.977
02/3/2014,3.951
01/27/2014,3.904
01/20/2014,3.873
01/13/2014,3.886
01/6/2014,3.91
12/30/2013,3.903
12/23/2013,3.873
12/16/2013,3.871
12/9/2013,3.879
12/2/2013,3.883
11/25/2013,3.844
11/18/2013,3.822
11/11/2013,3.832
11/4/2013,3.857
10/28/2013,3.87
10/21/2013,3.886
10/14/2013,3.886
10/7/2013,3.897
09/30/2013,3.919
09/23/2013,3.949
09/16/2013,3.974
09/9/2013,3.981
09/2/2013,3.981
08/26/2013,3.913
08/19/2013,3.9
08/12/2013,3.896
08/5/2013,3.909
07/29/2013,3.915
07/22/2013,3.903
07/15/2013,3.867
07/8/2013,3.828
07/1/2013,3.817
06/24/2013,3.838
06/17/2013,3.841
06/10/2013,3.849
06/3/2013,3.869
05/27/2013,3.88
05/20/2013,3.89
05/13/2013,3.866
05/6/2013,3.845
04/29/2013,3.851
04/22/2013,3.887
04/15/2013,3.942
04/8/2013,3.977
04/1/2013,3.993
03/25/2013,4.006
03/18/2013,4.047
03/11/2013,4.088
03/4/2013,4.13
02/25/2013,4.159
02/18/2013,4.157
02/11/2013,4.104
02/4/2013,4.022
01/28/2013,3.927
01/21/2013,3.902
01/14/2013,3.894
01/7/2013,3.911
12/31/2012,3.918
12/24/2012,3.923
12/17/2012,3.945
12/10/2012,3.991
12/3/2012,4.027
11/26/2012,4.034
11/19/2012,3.976
11/12/2012,3.98
11/5/2012,4.01
10/29/2012,4.03
10/22/2012,4.116
10/15/2012,4.15
10/8/2012,4.094
10/1/2012,4.079
09/24/2012,4.086
09/17/2012,4.135
09/10/2012,4.132
09/3/2012,4.127
08/27/2012,4.089
08/20/2012,4.026
08/13/2012,3.965
08/6/2012,3.85
07/30/2012,3.796
07/23/2012,3.783
07/16/2012,3.695
07/9/2012,3.683
07/2/2012,3.648
06/25/2012,3.678
06/18/2012,3.729
06/11/2012,3.781
06/4/2012,3.846
05/28/2012,3.897
05/21/2012,3.956
05/14/2012,4.004
05/7/2012,4.057
04/30/2012,4.073
04/23/2012,4.085
04/16/2012,4.127
04/9/2012,4.148
04/2/2012,4.142
03/26/2012,4.147
03/19/2012,4.142
03/12/2012,4.123
03/5/2012,4.094
02/27/2012,4.051
02/20/2012,3.96
02/13/2012,3.943
02/6/2012,3.856
01/30/2012,3.85
01/23/2012,3.848
01/16/2012,3.854
01/9/2012,3.828
01/2/2012,3.783
12/26/2011,3.791
12/19/2011,3.828
12/12/2011,3.894
12/5/2011,3.931
11/28/2011,3.964
11/21/2011,4.01
11/14/2011,3.987
11/7/2011,3.887
10/31/2011,3.892
10/24/2011,3.825
10/17/2011,3.801
10/10/2011,3.721
10/3/2011,3.749
09/26/2011,3.786
09/19/2011,3.833
09/12/2011,3.862
09/5/2011,3.868
08/29/2011,3.82
08/22/2011,3.81
08/15/2011,3.835
08/8/2011,3.897
08/1/2011,3.937
07/25/2011,3.949
07/18/2011,3.923
07/11/2011,3.899
07/4/2011,3.85
06/27/2011,3.888
06/20/2011,3.95
06/13/2011,3.954
06/6/2011,3.94
05/30/2011,3.948
05/23/2011,3.997
05/16/2011,4.061
05/9/2011,4.104
05/2/2011,4.124
04/25/2011,4.098
04/18/2011,4.105
04/11/2011,4.078
04/4/2011,3.976
03/28/2011,3.932
03/21/2011,3.907
03/14/2011,3.908
03/7/2011,3.871
02/28/2011,3.716
02/21/2011,3.573
02/14/2011,3.534
02/7/2011,3.513
01/31/2011,3.438
01/24/2011,3.43
01/17/2011,3.407
01/10/2011,3.333
01/3/2011,3.331
12/27/2010,3.294
12/20/2010,3.248
12/13/2010,3.231
12/6/2010,3.197
11/29/2010,3.162
11/22/2010,3.171
11/15/2010,3.184
11/8/2010,3.116
11/1/2010,3.067
10/25/2010,3.067
10/18/2010,3.073
10/11/2010,3.066
10/4/2010,3
09/27/2010,2.951
09/20/2010,2.96
09/13/2010,2.943
09/6/2010,2.931
08/30/2010,2.938
08/23/2010,2.957
08/16/2010,2.979
08/9/2010,2.991
08/2/2010,2.928
07/26/2010,2.919
07/19/2010,2.899
07/12/2010,2.903
07/5/2010,2.924
06/28/2010,2.956
06/21/2010,2.961
06/14/2010,2.928
06/7/2010,2.946
05/31/2010,2.98
05/24/2010,3.021
05/17/2010,3.094
05/10/2010,3.127
05/3/2010,3.122
04/26/2010,3.078
04/19/2010,3.074
04/12/2010,3.069
04/5/2010,3.015
03/29/2010,2.939
03/22/2010,2.946
03/15/2010,2.924
03/8/2010,2.904
03/1/2010,2.861
02/22/2010,2.832
02/15/2010,2.756
02/8/2010,2.769
02/1/2010,2.781
01/25/2010,2.833
01/18/2010,2.87
01/11/2010,2.879
01/4/2010,2.797
12/28/2009,2.732
12/21/2009,2.726
12/14/2009,2.748
12/7/2009,2.772
11/30/2009,2.775
11/23/2009,2.787
