Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
28.0,0,1,10.0,3,2,3,4.0,0,3.0,1,3.0,0,1,0,1.0,1,20384.0,0
34.0,1,3,,3,1,2,4.0,1,4.0,2,1.0,1,5,1,0.0,2,19599.0,1
45.0,0,1,,2,2,2,3.0,1,4.0,1,2.0,0,4,1,0.0,2,,0
29.0,0,1,7.0,3,2,3,5.0,0,4.0,1,3.0,0,4,0,1.0,1,21274.0,1
42.0,1,3,6.0,2,2,2,3.0,1,3.0,0,2.0,0,3,1,0.0,2,19907.0,0
32.0,1,1,29.0,3,2,4,4.0,1,3.0,0,3.0,1,5,1,1.0,2,24857.0,1
43.0,0,3,8.0,2,2,3,3.0,1,3.0,1,2.0,0,3,1,2.0,2,20675.0,0
32.0,1,3,20.0,3,2,4,5.0,1,5.0,1,7.0,1,1,1,1.0,2,20980.0,1
36.0,0,3,,3,1,2,1.0,1,5.0,0,3.0,0,1,1,0.0,2,19639.0,0
34.0,1,1,7.0,2,2,4,4.0,0,3.0,3,3.0,1,3,1,1.0,1,21364.0,1
35.0,0,1,14.0,2,2,4,6.0,1,3.0,3,3.0,1,5,1,1.0,2,24752.0,1
31.0,1,1,9.0,3,0,3,5.0,1,3.0,3,7.0,1,2,1,2.0,2,25555.0,0
49.0,0,3,14.0,3,1,4,4.0,0,3.0,1,4.0,1,4,1,2.0,1,21333.0,1
,1,3,6.0,3,2,2,1.0,1,5.0,1,2.0,0,4,0,0.0,2,,0
52.0,0,3,16.0,2,2,3,4.0,2,,1,6.0,1,4,1,2.0,4,38525.0,0
28.0,1,1,15.0,3,2,3,3.0,0,3.0,1,2.0,0,1,1,0.0,1,17070.0,0
28.0,1,1,23.0,1,2,2,4.0,0,3.0,1,6.0,0,3,0,1.0,1,17367.0,1
33.0,1,1,9.0,1,2,4,4.0,0,5.0,2,3.0,0,1,1,2.0,1,21117.0,0
36.0,1,1,8.0,2,1,3,3.0,0,3.0,1,5.0,0,5,1,0.0,1,17543.0,0
22.0,1,1,21.0,3,1,2,3.0,0,3.0,2,2.0,0,1,1,1.0,1,17871.0,0
33.0,1,1,20.0,3,1,3,3.0,0,4.0,1,2.0,0,5,1,1.0,1,17756.0,0
36.0,1,1,7.0,1,1,3,5.0,3,5.0,1,3.0,1,1,1,0.0,3,25252.0,0
50.0,1,1,15.0,2,2,3,3.0,0,3.0,1,5.0,0,5,1,2.0,1,17380.0,0
23.0,1,1,15.0,3,2,2,3.0,0,5.0,1,2.0,0,3,1,0.0,1,17500.0,0
41.0,1,1,15.0,3,2,4,5.0,0,3.0,3,3.0,1,4,1,3.0,1,27772.0,1
37.0,1,3,8.0,3,2,3,3.0,1,3.0,1,5.0,1,3,0,2.0,2,24602.0,0
,1,1,6.0,3,1,3,3.0,0,5.0,1,2.0,0,1,1,0.0,1,18591.0,0
40.0,0,3,11.0,2,2,2,4.0,3,5.0,1,6.0,1,5,0,0.0,3,25475.0,0
56.0,1,3,25.0,2,1,3,4.0,4,4.0,2,5.0,0,1,1,,0,35513.0,0
54.0,1,1,25.0,3,1,3,3.0,1,5.0,1,1.0,1,3,0,0.0,2,20485.0,0
23.0,0,1,23.0,3,2,4,2.0,0,3.0,1,3.0,1,3,0,3.0,1,21613.0,0
39.0,1,1,9.0,2,2,3,4.0,1,3.0,1,2.0,0,1,1,2.0,2,25231.0,0
33.0,1,1,8.0,2,1,2,3.0,0,5.0,1,1.0,0,3,1,1.0,1,17707.0,1
29.0,1,1,34.0,3,1,3,6.0,1,5.0,1,2.0,0,4,1,1.0,2,23886.0,0
20.0,0,1,17.0,3,1,4,5.0,0,4.0,2,3.0,1,5,1,2.0,1,20537.0,1
,1,2,14.0,2,2,2,3.0,1,4.0,1,3.0,0,3,1,1.0,2,,0
46.0,1,3,8.0,3,1,3,3.0,4,5.0,0,1.0,0,2,1,0.0,0,32048.0,0
35.0,1,1,13.0,2,1,3,4.0,1,3.0,3,3.0,0,3,0,1.0,2,23487.0,0
27.0,0,3,6.0,3,2,3,3.0,1,4.0,1,1.0,1,1,0,1.0,2,21349.0,0
40.0,1,3,10.0,3,2,3,4.0,3,3.0,1,1.0,0,1,1,1.0,3,25855.0,0
50.0,1,1,34.0,3,2,3,1.0,0,3.0,1,2.0,1,1,0,1.0,1,18221.0,0
38.0,1,1,28.0,2,2,4,3.0,0,5.0,0,3.0,1,3,0,3.0,1,22242.0,0
36.0,1,1,12.0,2,2,2,3.0,0,3.0,0,1.0,0,5,1,1.0,1,18210.0,0
28.0,1,2,14.0,3,2,3,,0,3.0,1,2.0,0,2,0,1.0,1,19936.0,0
41.0,0,1,11.0,2,2,3,4.0,0,5.0,1,7.0,0,3,0,1.0,1,17107.0,1
38.0,1,1,17.0,2,2,4,3.0,0,3.0,3,5.0,0,4,1,2.0,1,23358.0,0
41.0,1,3,8.0,2,2,2,3.0,4,4.0,2,2.0,0,3,1,0.0,0,31015.0,0
41.0,0,1,8.0,2,1,3,4.0,1,3.0,3,3.0,1,2,0,0.0,2,21811.0,0
36.0,0,3,21.0,3,2,2,5.0,1,3.0,1,2.0,0,1,1,0.0,2,20406.0,0
37.0,1,1,8.0,2,2,3,4.0,0,3.0,2,7.0,1,3,0,2.0,1,17090.0,1
27.0,2,3,,3,2,2,3.0,1,3.0,1,1.0,0,3,1,1.0,2,,0
39.0,1,1,22.0,2,2,4,5.0,3,3.0,1,2.0,1,5,1,3.0,3,30188.0,0
41.0,1,1,14.0,2,2,4,4.0,0,5.0,2,5.0,1,3,0,2.0,1,20844.0,1
42.0,1,1,9.0,2,1,3,1.0,1,3.0,1,3.0,1,5,1,0.0,2,20231.0,0
42.0,1,3,14.0,3,2,2,3.0,1,4.0,0,1.0,0,3,0,1.0,2,21825.0,0
25.0,0,2,17.0,3,2,3,4.0,0,3.0,1,2.0,0,4,1,2.0,1,20823.0,0
49.0,1,3,9.0,3,2,3,5.0,1,4.0,3,2.0,1,1,1,1.0,2,26576.0,1
40.0,0,1,15.0,3,0,2,3.0,3,3.0,3,1.0,0,4,0,0.0,3,28499.0,0
36.0,1,1,34.0,2,2,3,4.0,1,3.0,1,4.0,0,5,0,2.0,2,25561.0,0
41.0,1,2,6.0,2,2,2,4.0,2,3.0,1,2.0,0,1,1,1.0,4,34189.0,0
26.0,1,1,,2,2,3,4.0,0,5.0,1,6.0,0,5,1,1.0,1,19796.0,1
34.0,1,1,6.0,2,2,2,3.0,0,3.0,0,2.0,0,3,1,0.0,1,17691.0,0
33.0,0,3,12.0,2,2,3,4.0,1,4.0,0,3.0,0,3,1,2.0,2,25202.0,0
31.0,1,1,9.0,3,2,3,5.0,0,3.0,3,2.0,0,4,0,1.0,1,21398.0,0
24.0,1,3,,3,1,3,3.0,1,3.0,1,2.0,1,2,0,2.0,2,,0
30.0,1,3,8.0,1,2,3,3.0,0,4.0,1,2.0,0,3,1,0.0,1,17476.0,0
33.0,0,1,6.0,2,0,3,3.0,3,3.0,3,2.0,1,1,1,0.0,3,28458.0,0
31.0,1,1,17.0,3,2,3,3.0,1,5.0,1,2.0,1,1,1,1.0,2,21833.0,0
21.0,1,3,9.0,3,1,3,5.0,0,3.0,2,3.0,0,4,0,2.0,1,20722.0,1
35.0,0,2,30.0,2,1,3,4.0,3,5.0,1,2.0,1,3,1,1.0,3,28628.0,1
35.0,1,3,23.0,2,2,3,3.0,1,5.0,1,4.0,1,3,0,2.0,2,23966.0,0
28.0,1,3,15.0,2,2,3,3.0,1,3.0,2,2.0,0,3,1,0.0,2,20253.0,0
41.0,0,1,16.0,3,2,3,4.0,0,4.0,1,2.0,1,4,0,2.0,1,22295.0,0
25.0,1,1,9.0,2,2,2,3.0,0,5.0,1,5.0,0,5,1,0.0,1,16118.0,1
29.0,1,1,23.0,3,2,4,2.0,1,5.0,3,2.0,0,5,0,2.0,2,24339.0,0
32.0,1,1,,2,2,3,3.0,1,3.0,0,2.0,0,3,1,1.0,2,19883.0,1
34.0,1,3,23.0,2,0,4,4.0,3,5.0,3,4.0,1,5,0,1.0,3,27242.0,1
39.0,1,1,10.0,1,1,3,4.0,1,3.0,3,5.0,1,5,1,1.0,2,22995.0,0
27.0,1,3,7.0,2,2,3,4.0,1,3.0,0,3.0,0,5,1,1.0,2,23974.0,0
49.0,1,1,14.0,2,1,2,3.0,3,4.0,1,5.0,0,4,0,1.0,3,22403.0,0
27.0,1,1,24.0,3,2,4,6.0,0,3.0,1,3.0,0,3,0,3.0,1,20983.0,0
51.0,0,3,15.0,1,2,3,4.0,1,3.0,1,5.0,1,5,0,1.0,2,25474.0,1
28.0,0,3,27.0,2,1,3,4.0,1,3.0,2,3.0,0,1,1,2.0,2,28659.0,0
28.0,2,1,,3,2,2,3.0,0,3.0,2,7.0,0,3,1,1.0,1,,1
38.0,1,1,6.0,2,1,2,2.0,1,3.0,3,1.0,0,2,1,1.0,2,22625.0,0
34.0,1,1,17.0,3,2,3,6.0,0,3.0,1,2.0,0,5,0,1.0,1,22086.0,1
35.0,0,1,31.0,2,1,3,3.0,0,4.0,1,2.0,1,3,0,0.0,1,17022.0,1
,1,2,8.0,2,2,3,3.0,0,3.0,2,1.0,0,1,0,0.0,1,18539.0,0
33.0,1,1,20.0,3,1,3,3.0,0,4.0,0,2.0,0,5,0,0.0,1,17756.0,0
46.0,1,1,35.0,1,1,3,5.0,4,4.0,2,3.0,0,3,1,,0,35382.0,0
41.0,0,1,23.0,3,2,3,5.0,1,3.0,3,8.0,0,5,0,1.0,2,23772.0,0
47.0,1,1,9.0,1,2,3,4.0,1,3.0,1,4.0,0,2,1,1.0,2,26057.0,0
39.0,1,3,9.0,3,1,2,3.0,1,3.0,1,5.0,1,4,1,1.0,2,20238.0,1
42.0,1,2,17.0,2,2,4,5.0,2,3.0,1,,0,2,1,1.0,4,37819.0,0
56.0,0,1,6.0,2,2,2,3.0,1,3.0,1,2.0,0,3,0,0.0,2,21306.0,0
51.0,0,1,9.0,3,1,2,4.0,4,5.0,0,,0,3,1,1.0,0,36534.0,0
30.0,1,1,13.0,3,1,3,4.0,0,3.0,1,3.0,0,3,0,2.0,1,21809.0,0
55.0,1,1,14.0,3,1,2,3.0,4,3.0,1,3.0,1,3,1,1.0,0,29756.0,0
28.0,1,1,9.0,1,2,3,4.0,0,4.0,1,3.0,0,4,1,2.0,1,20904.0,0
22.0,1,1,14.0,3,1,3,3.0,0,5.0,1,2.0,1,3,0,1.0,1,17398.0,1
25.0,1,1,7.0,3,2,4,4.0,0,3.0,1,4.0,1,3,0,3.0,1,20971.0,1
49.0,1,3,17.0,3,1,2,3.0,3,3.0,0,2.0,0,4,0,1.0,3,22654.0,1
44.0,0,1,34.0,2,1,3,4.0,3,5.0,0,2.0,0,4,0,1.0,3,29498.0,0
41.0,1,1,25.0,2,2,2,3.0,1,5.0,1,3.0,0,1,0,0.0,2,18072.0,0
35.0,1,1,31.0,3,1,2,3.0,3,3.0,1,2.0,1,3,0,1.0,3,25388.0,0
55.0,1,1,8.0,3,1,2,5.0,2,3.0,0,5.0,0,4,1,1.0,4,34187.0,0
37.0,1,1,13.0,3,2,3,4.0,1,4.0,1,8.0,0,4,1,2.0,2,23619.0,0
31.0,1,3,,3,2,3,4.0,0,3.0,2,3.0,0,5,0,1.0,1,19759.0,1
35.0,0,3,13.0,3,1,3,6.0,0,3.0,1,2.0,0,4,0,2.0,1,21029.0,1
53.0,1,1,14.0,2,2,3,4.0,3,4.0,2,2.0,0,3,1,2.0,3,29123.0,0
36.0,1,3,35.0,2,1,4,5.0,0,3.0,1,2.0,0,4,1,3.0,1,21108.0,0
41.0,1,3,6.0,3,2,2,2.0,3,5.0,0,2.0,0,3,1,1.0,3,23392.0,0
40.0,0,1,22.0,3,2,2,4.0,1,3.0,2,7.0,0,5,0,0.0,2,20094.0,0
40.0,1,1,7.0,2,1,4,5.0,4,3.0,1,3.0,0,3,1,1.0,0,31420.0,0
29.0,1,3,9.0,3,1,3,3.0,1,3.0,1,2.0,0,1,0,0.0,2,20561.0,0
40.0,1,3,10.0,3,2,3,4.0,3,3.0,0,1.0,0,2,1,0.0,3,25855.0,0
26.0,0,1,6.0,2,1,2,3.0,1,4.0,1,2.0,0,5,1,1.0,2,21397.0,0
47.0,0,1,25.0,3,1,3,4.0,3,3.0,0,7.0,0,3,1,1.0,3,29205.0,0
43.0,0,1,9.0,2,2,3,4.0,4,3.0,0,,1,4,0,2.0,0,36539.0,0
27.0,1,1,10.0,2,2,3,3.0,0,3.0,1,2.0,0,4,1,1.0,1,17517.0,0
48.0,1,3,35.0,3,1,3,3.0,3,3.0,0,4.0,0,4,0,0.0,3,27504.0,0
,1,1,35.0,3,2,3,3.0,0,5.0,1,2.0,0,4,1,1.0,1,,0
34.0,1,2,10.0,2,2,3,4.0,0,4.0,1,5.0,1,5,0,2.0,1,20955.0,0
27.0,1,1,10.0,2,1,3,3.0,0,3.0,2,2.0,0,1,0,0.0,1,17318.0,0
